SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.766126609,45,2,0.802982129,9120,13,0,6,0,2
0,0.957151019,40,0,0.121876201,2600,4,0,0,0,1
0,0.65818014,38,1,0.085113375,3042,2,1,0,0,0
0,0.233809776,30,0,0.036049682,3300,5,0,0,0,0
0,0.9072394,49,1,0.024925695,63588,7,0,1,0,0
0,0.213178682,74,0,0.375606969,3500,3,0,1,0,1
0,0.305682465,57,0,5710,NA,8,0,3,0,0
0,0.754463648,39,0,0.209940017,3500,8,0,0,0,0
0,0.116950644,27,0,46,NA,2,0,0,0,NA
0,0.189169052,57,0,0.606290901,23684,9,0,4,0,2
0,0.644225962,30,0,0.30947621,2500,5,0,0,0,0
0,0.01879812,51,0,0.53152876,6501,7,0,2,0,2
0,0.010351857,46,0,0.298354075,12454,13,0,2,0,2
1,0.964672555,40,3,0.382964747,13700,9,3,1,1,2
0,0.019656581,76,0,477,0,6,0,1,0,0
0,0.548458062,64,0,0.209891754,11362,7,0,1,0,2
0,0.061086118,78,0,2058,NA,10,0,2,0,0
0,0.166284079,53,0,0.18827406,8800,7,0,0,0,0
0,0.221812771,43,0,0.527887839,3280,7,0,1,0,2
0,0.602794411,25,0,0.065868263,333,2,0,0,0,0
0,0.200923382,43,0,0.430046338,12300,10,0,2,0,0
1,0.025655677,38,0,0.475841386,3000,7,0,1,0,2
0,0.9999999,39,0,0.241103559,2500,4,0,0,0,0
0,0.075426584,32,0,0.085512189,7916,6,0,0,0,0
0,0.04656027,58,0,0.241621845,2416,9,0,1,0,0
1,0.392248482,50,0,1.595253368,4676,14,0,3,0,1
0,0.052436094,58,0,0.097672186,8333,22,0,1,0,0
0,0.034421473,69,0,0.042383047,2500,17,0,0,0,1
0,0.452515828,24,0,0.011761247,3400,1,0,0,0,0
0,0.392994586,58,2,0.436102527,5500,15,0,1,0,0
0,0.704073982,28,1,0.155201143,4200,8,0,0,0,0
0,0.9999999,24,0,0.472703063,750,1,0,0,0,0
0,0.083418009,62,0,977,NA,6,0,1,0,0
0,0.186868556,57,0,0.313812313,7000,9,0,2,0,0
0,0.693329681,42,2,0.257731959,2230,7,0,0,0,0
0,0,64,0,0.073538769,11000,9,0,1,0,0
0,0.881836362,50,3,0.567858035,4000,9,0,1,0,1
0,0.9999999,75,1,0.134078212,3400,1,0,1,0,1
0,0.363636364,26,0,0.00999001,1000,1,0,0,0,0
0,0.304490668,52,0,0.808340474,3500,10,0,2,0,0
0,0.71998531,41,1,0.539554464,5700,14,0,1,0,0
0,0.07289757,81,0,75,NA,7,0,0,0,0
0,0.469056842,31,0,0.048211004,9250,4,0,0,0,1
0,0.718705378,28,0,0.170125614,3661,4,0,0,0,1
0,0.368875933,68,0,1687.5,1,31,0,1,0,0
0,0.000602723,70,0,0.177787036,16800,12,0,1,0,2
0,0.061440132,62,0,0.011167837,3133,2,0,0,0,0
0,0.140110634,31,0,0.689370485,1937,4,0,2,0,0
0,0.834048027,38,0,0.393662026,13000,13,0,2,0,2
0,7.96E-05,70,0,0.256339661,6900,21,1,1,0,0
0,0.818977517,73,0,3095,0,9,0,1,1,0
1,0.728150491,31,0,0.824725092,3000,10,0,2,0,1
0,0.9999999,62,0,0,NA,1,0,0,0,0
0,0.028562367,51,0,0.306381499,5750,5,0,1,0,0
0,0.992015968,29,0,0.008064516,2231,1,0,0,0,0
0,0.070853769,55,0,0.073147745,13793,4,0,1,0,0
0,0.454971915,46,1,0.016921775,13000,10,0,0,0,1
0,0.401199782,64,0,0.351258937,3216,4,0,1,0,0
0,0.541108804,43,0,2477,NA,3,0,1,0,2
0,0.655569945,35,0,0.261609907,5813,10,0,0,0,2
0,0.651603452,58,0,0.241135663,7783,11,0,1,0,0
0,0.027399502,69,0,0.00803428,5600,3,0,0,0,0
0,0.101155821,72,0,1720,NA,12,0,2,0,0
0,0.009788862,46,0,1.051397656,3326,6,0,2,0,2
0,0.337520702,60,0,0.549877805,4500,10,0,2,0,0
0,0,67,0,0.540983607,3720,2,0,1,0,0
0,0.750873672,55,2,0.316416365,7723,17,0,1,0,1
0,0.006799093,27,1,0.681045752,764,3,0,0,0,0
0,0.004264079,31,0,0.111444278,2000,6,1,0,0,2
0,0.26948375,64,0,0.16106176,9455,13,0,1,0,3
0,0.265898391,36,0,0.262611807,8384,6,0,2,0,1
0,0.142013011,67,0,1824,NA,7,0,2,0,0
0,0.827708197,56,0,0.369590815,6793,15,1,1,0,0
0,0.059668871,31,0,3162,0,11,0,2,0,1
1,0.13306279,49,1,0.182881653,10257,9,0,2,0,3
0,0.234218112,36,0,0.116614347,8600,19,0,0,0,3
0,0.122295933,29,0,0.694646949,4800,5,0,1,0,0
0,0.460376317,37,0,0.074155949,4975,6,0,0,0,0
0,0.335558577,69,0,0.270448637,15000,14,0,2,0,1
0,0.270522569,41,0,2.797698945,1042,11,0,2,0,2
0,0.183316667,52,0,0.111131623,10833,14,0,2,0,1
0,0.074861676,66,0,0.208842479,4500,3,0,1,0,0
0,0.017258977,53,0,2.604510673,12414,13,0,1,0,2
0,0.054497069,56,0,0.492021814,4950,18,0,2,0,0
0,0.029164236,31,0,0.395031809,3300,10,0,1,0,0
0,0,58,0,0.316144874,4886,9,0,1,0,1
0,0.360509632,58,1,3282,NA,8,0,2,0,0
0,0.003749688,64,0,0.004061231,3200,5,0,0,1,0
1,0.734477501,45,0,0.591477634,4716,13,0,2,0,2
0,0.080564168,60,0,0.487288997,4916,15,0,2,0,0
0,0.039387786,51,0,15466,0,7,0,0,0,0
0,0.023767433,83,0,0.123797734,10500,13,0,0,0,0
0,0.784835658,52,0,2662,NA,10,0,2,1,0
0,0.888822236,34,0,0.368403802,3050,4,0,0,0,1
0,0.791173628,44,0,0.51241535,3100,5,0,1,0,0
0,0.24535301,37,0,0.288417167,6500,11,1,1,1,0
0,0.542242704,48,2,10,NA,2,0,0,0,NA
0,0.010531379,57,0,0.280664917,5714,6,0,1,0,0
0,0.363199686,32,0,0.480523957,2900,4,0,1,0,0
0,0.032617977,75,0,0.006799093,7500,4,0,0,0,0
0,0.013024674,61,0,15,NA,4,0,0,0,0
0,0.019387779,34,0,0.32591852,4000,9,0,1,0,0
0,0.634485057,52,0,0.138238573,2690,2,0,0,0,0
0,0.888008615,44,0,0.299246282,4908,8,0,0,0,1
0,0.003108849,57,0,0.258939285,8333,7,0,1,0,0
0,0.114830941,46,0,0.026235802,6250,6,0,0,0,3
0,0.018886792,80,0,0.003478779,10060,5,0,0,0,0
0,0.635415157,32,0,0.519493502,3000,4,0,1,0,1
0,0.9999999,62,0,0.664221287,8314,8,0,3,0,0
0,0.041257909,61,0,4739,NA,11,0,4,0,NA
0,0.096737158,47,0,0.009748781,8000,2,0,0,0,2
0,0.31844615,58,0,1.382629108,3833,26,0,4,0,0
0,0.186987534,52,0,0.023993145,3500,4,0,0,0,0
0,0.006541851,68,0,0.108089191,10000,10,0,2,0,1
0,0.180972181,39,1,0.384441575,3097,7,0,1,0,3
0,0.00750765,74,0,7,NA,4,0,0,0,0
0,0.06790706,46,0,0.149103029,10200,6,0,2,0,0
0,0.033461782,44,0,1.243362832,4067,5,0,2,0,1
0,0.007520592,68,0,269,NA,4,0,0,0,0
